old_tag,new_tags,count,SURJ Action,SURJ Demo Chapter,SURJ Bay Area,Showing Up for Racial Justice NYC
trump-house-party,#Trump?Host,2473,,,,
NYC_Attend_Mar17_Canvass,?Canvass,11,,,,
pledge_dk,IGNORE,176,,,,
NYC_Attend_Jan17_ActionFair,IGNORE,11,,,,
event-creator,IGNORE,122,,,,
SURJ Bay Area - Origin - Import 2017-03,IGNORE,46,,,,
SURJ Bay Area - Cohort 2017-08,IGNORE,13,,,!Study & Action,
pwc-identified,#Poor Working Class,62,,,,
NYC_Attend_Mar17_UWS,IGNORE,6,,,,
NB Pilot 2016,IGNORE,9,,,,
SURJ Bay Area - Origin - Import 2016-10,IGNORE,88,,,,
SURJ Bay Area - Origin - Import 2016-11,IGNORE,640,,,,
SURJ Bay Area - Origin - Import 2016-12,IGNORE,79,,,,
NYC_Neighbor_EVillage,IGNORE,1,,,,
111surjcallregistered,!Conference Call,116,,,,
labor,IGNORE,1,,,,
yellow/ 4,IGNORE,20,,,,
NYCChapter8/16,IGNORE,51,,,,
NYC_Attend_Mar17_Comms,IGNORE,19,,,,
pledge_deepcanvass,#Canvass,149,,,,
Volunteer,?Volunteer,21,,,,
champion interest,IGNORE,23,,,,
tulsa_pledge,IGNORE,323,,,,
local lead,IGNORE,7,,,,
SURJ Bay Area - Origin - 2017-02,IGNORE,48,,,,
Pacific North West,IGNORE,4,,,,
NYC_Skills_Graphic,?Graphic design,44,,,,
engaged_before,IGNORE,1785,,,,
NYC_Islamophobia,#Islamophobia,595,,,,
Design and website,?Web Design,846,,,,
NYC_Attend_Jan17_Court,IGNORE,51,,,,
joined_tamir,IGNORE,1617,,,,
mijente:controlshift_category_police,#Police,3174,,,,
NYC_Neighbor_SunsetPark,IGNORE,2,,,,
Legal,?Legal,1191,,,,
SURJ Bay Area - Survey - Blocked - 20172404,IGNORE,129,,,,
NYC_Attend_Jan17_Immigration,#Immigration,20,,,,
NYC_Skills_Organizing,?Organizing,73,,,,
NYC_Attend_CallingIn_Dec16,!Conference Call,18,,,,
NYC_Attend_Apr17_CallingIn,!Conference Call,14,,,,
Evergreen,IGNORE,27,,,,
NYC_Skills_Academia,?Academia,20,,,,
Contacted - Phone Bank 8/16,IGNORE,1463,Contacted - Phone,,,
networker,IGNORE,71,,,,
pledge_conversation,IGNORE,342,,,,
Charlestoncall6_19,!Conference Call,1997,,,,
NYC_Neighbor_Bushwick,IGNORE,3,,,,
SURJ Bay Area - Interest - Basebuilding,#Basebuilding,158,,,,
NYC_Assist_Data_Nov16,?Data,13,,,,
Millions March,IGNORE,81,,,,
NYC_Attend_Nov16_Canvass,#Canvass,22,,,,
Contacted - Phone Bank - 8/16,IGNORE,74,Contacted - Phone,,,
SURJ Action - Phone Bank - Attended Training - Dec 2016,"?Phone Bank,!Training Phone Bank",531,,,,
muslim_yardsigns,IGNORE,171,,,,
Southwest/Mountain States,IGNORE,3,,,,
#Study & Action,IGNORE,25,,,!Study & Action,
Involve - Call - Phone Bank - 8/8/16,!Phone Bank,61,,,,
monthly donor,Donor Monthly,1538,Donor Monthly,,,
Leadership team,IGNORE,8,,,,
2017_5_4_displacement,IGNORE,2,,,,
#Militarization,#Militarization,74,,,,
south,IGNORE,9,,,,
Affiliate member,IGNORE,30,,,,
SURJ Action - Origin - Website,IGNORE,114,,,,
class_matters_call_may-17,!Conference Call,58,,,,
SURJ Bay Area - Request - Contact,IGNORE,476,,,Request Contact,
response716,IGNORE,1,,,,
blogger,?Blog,1916,,,,
